用户,星级,评论
RSE103504847,5.0,鱼头味道很正宗，配菜也很新鲜，绿色叶菜是老板院里自家种的。老板娘人不错超热情，让去菜地自己拔菜带走。总之出来玩的高兴，吃的超也美味，带着新鲜的蔬菜心情美美哒返程了。下次重游一定会再来光顾的，祝老板生意兴隆！
匿名用户,5.0,「#套餐：2-3 人柴锅灶台胖头鱼」「#炸虾」锅底选的微辣的，很好吃很下饭，鲤鱼新鲜肉质绵密。大家吃的很开心，老板人很热情，很实在
_qqcht1400384330,5.0,密云水库旁边，第二次来了，周末带着家人来吃水库鱼，服务超级热情，鱼个大新鲜鲜香入味，一家人点了只8斤的胖头孩子超爱吃，下次周末溜达还来这里
197海,3.0,在渔街里，好多吃鱼的餐馆，这间只是其中之一。上菜速度不快，等了好久，没人收拾桌子。点餐时说套餐券可以用，菜没上齐又说不让用，搞的像是占多大便宜似的。像这种情况应该提前告知，我好选择在哪家餐馆就餐。鱼熟的挺快。不太愉快的就餐。
zzyq,2.0,冲着美团第一来的，结果服务和口味都很差，没什么人，上菜还很慢。炖鱼全靠鱼本身的味道撑着，酱难吃！香椿拌豆腐几乎没有香椿。不知道怎么上的排行榜第一，如果美团继续这样，估计和莆田系差不多了，以后只能看大众点评了
anfuping,1.0,严重差评，估计是不想干了吧，柴鸡根本不是柴鸡，这也是水果拼盘，隔夜的苹果，大家不要上当，严重欺骗。
九王爷a,5.0,环境好，菜量足，味道不错，鱼新鲜，没有土腥味，价格实惠。
旋转木马128,5.0,看了大众点评推荐来的，鱼的味道果然鲜美！很鲜嫩！炖豆腐特别入味，三个人吃光光了
_qqcht1400384330,5.0,朋友推荐这家的灶台鱼，团购了个套餐，三人吃正好，特别划算。鱼的味道很赞鲜嫩正好入口即化，很棒的体验，值得推荐
zhangli0708,5.0,一家三口去密云，吃的最爽的一顿，好吃不贵。老板娘很好客。院子很大，停车也方便。
匿名用户,3.0,回到家后犯嘀咕，为啥老奶奶不戴口罩？为了叫客户放心，建议还是戴上口罩
Lily_201712,5.0,鱼的味道很不错 店员很热情 下次密云行还会去，大家路过密云一定要去尝一尝哈
cpc9837863688838,5.0,好吃！鱼很新鲜！
ArP507459843,4.0,十一期间，各处都很热闹，农家院里，家常菜的味道。很实惠的。
不是我们的我,2.0,来密云来旅游，特意说找一家网评第一名的水库鱼，驱车不远万里来到这里，我问美团可以用吗，说可以，一个应该像是老板娘的阿姨都不等我把菜单看完听说是团购直接把菜单给我撤了，什么意思我想说，我说我还没看完呢，还要点别的菜呢，特别不耐烦，加完菜马上就过来收钱，是怕不给钱吗，再说说这个鱼，不知道网评排名第一怎么来的，鱼头带着腮，见图，味道也是一般，不会再来第二次了，很失望，其他的服务员阿姨都很好很和蔼，年轻的小伙态度也不错
dubing911,4.0,大鱼超级好吃，店家还让娃挖了两个大萝卜，连吃带采摘真是有趣，孩子开心极了。
oOW203209915,5.0,去过很多周围的饭店，这家味道是最好的，而且价格也实惠，两个人吃的饱饱的还剩下了很多，因为天气原因选择了外面就餐，店家贴心准备了蚊香，满分满分，下次还会过去！ #锅底锅底# #白豆腐#
LusChaoyang,5.0,"去密云白龙潭爬山，中午找到他家吃的饭。
位置就在密云水库边上，按导航很好找。他们家有个很大的院子，要是天气凉快可以到处转转。
菜的味道都不错，尤其是烧的鱼非常嫩，烧的鸡味道也很好，额外加的豆腐白菜汤家人也很喜欢。
吃完饭还在他们家的菜园摘了几个黄瓜吃😀妈妈很开心😊"
VUn715205729,5.0,很不错 带着家人一起去玩 中午在美团买的这个套餐 看着没销量刚开始还有些担心 菜上来以后才发现担心是多余的了 分量足 味道不错！临走还送一大葫芦
Fvm250317161,5.0,我有所值，味道不错，下次还值得在来
jdc2011,4.0,鱼还成吧，但就是我们等的时间有点长，厨师把我们忘了，后来催才上的鱼
yOP821509113,3.0,老板建议我们跟换了套餐，补了差价，味道还不错
路易少辉,2.0,鱼做的一般、咸的很、吃完后感觉腥的很
关关2019,4.0,货真价实的柴鸡，味道很棒，分量再多点就好了。酱烧鱼特别新鲜，特别入味。不愧是密云水库排名第一的馆子！棒棒哒
小乔的瑜哥哥,2.0,"【口味】
【环境】
【服务】
【等位】"
wym860409,5.0,味道非常好，鱼太好吃了，一点都不腥，还可以免费采摘，还能Ｋ歌，老板好热情啊，绝对的回头客😊
匿名用户,5.0,味道不错，鱼很鲜，推荐来😄老板娘很实在，还送了自己种的菜👍
oky885736502,4.0,团的288的套餐，很大的一条鱼，四个人差点没吃完，味道很棒，公公婆婆吃的很满意～ #胖头鱼# #烙饼#
月亮怀抱太阳,5.0,铁锅炖鱼的味道非常好，鱼很嫩的，农家菜的味道也很好，老板娘也很热情，服务周到，店里还有自己种的地，可以采摘黄瓜吃，强烈推荐！
guoguo19830319,3.0,大五不错，就是没给果盘，这点不好！
匿名用户,2.0,老板娘很不实在，我们4个人推荐6.7斤的鱼头，老爹说吃不了，老板娘说鱼头越大越好吃，听了老板娘的推荐上了7斤，原来是两个鱼头7斤，都带多半个身子，最后一个也没吃完，味道也很一般，也不知道她家的5星好评是怎么来的
JQy956372443,5.0,环境好，服务周到，味道也很好
Blr934634169,5.0,农家院干净，价格合理。鱼的味道非常不错。有机会在到这里来。
匿名用户,5.0,货真价实，绝对的厚道。味道也很不错，下次还来。
VnW990955453,5.0,味道很好 店家服务态度很热情！
crykurt13,5.0,鱼很新鲜 从鱼池里现抓现做 很好吃 环境好 推荐大家来
付鹏爱,5.0,不错昂，推荐一下。下雨天吃个铁锅鱼特别舒服，热乎乎的。
Btf714943775,2.0,鱼还可以 所谓水果拼盘很不满意.
月亮怀抱太阳,5.0,味道很好，第一次来，团的套餐，物美价廉
snh345540918,5.0,在网上团购的，量很足，很好吃，服务很好！
舍我其谁8086,5.0,真不错👍味道超级好👌
mvn908245206,5.0,味道还不错，就是胖头鱼太大了，4个人根本吃不了，所以要的鲤鱼的，要是商家能做半条一份的胖头鱼就好了！因为草鱼太腥了！喜欢他家的菜园子，特别新鲜，随吃随摘，非常好吃！
梦想6349,5.0,胖头鱼特别好吃，老板娘人特好，强烈推荐来这吃饭
OID702688157,5.0,位置超好找，味道也非常不错，还有免费采摘，西红柿、小辣椒等等，店老板特别贴心
兜兜妙可,5.0,服务很好，可以免费采摘，院里环境很好！
jIx325233926,4.0,今天要的酱汤，比较适合老人孩子吃，味道很赞，自己还是喜欢吃辣的，觉得辣的味道更好，老板娘很热情送了自己种的杏和黄瓜，最喜欢吃豆腐和宽粉，还有烙饼很好吃
匿名用户,2.0,最后加一份生面条，都要15，太坑了，
匿名用户,1.0,价格高，事先不说好不能用，菜品一般
阿雷12333,5.0,来的时间有点早，下午四点左右就到了，所以店里没有客人，以为上菜会很慢，结果上菜速度真的超级快，基本坐屋里没有十分钟菜品就上完了。味道还是不错的哈，尤其是他家的酱炖鱼，和炖柴鸡味道相当的可以哈，还有拌野菜和炸花椒芽味道也是没得说啊，所以必须给好评啊
兜兜妙可,5.0,味道很好，服务特别好，有个菜园免费采摘，经常去吃 #家常饼# #贴饼子#
李彦军654,5.0,环境优美，服务热情，口味很鲜
tCZ774113788,5.0,味道不错，全部吃光光
EpI619435658,5.0,鱼很鲜，大锅炖的也很棒！花椒芽是现炸的，挺香的。水果盘是冰镇西瓜🍉太到位了！ #特色酱炖鲤鱼# #炸花椒芽#
pangcui6553,4.0,味道非常的不错！！鱼肉特别好！！
辛红香,5.0,菜品好！可以摘杏
匿名用户,4.0,大柴锅炖的鲤鱼，卤水豆腐，血豆腐和白菜。点了花椒芽和拌黑土豆丝。不错 #柴锅炖鱼# #炸花椒芽#
kTf144464647,5.0,在院子里吃的，很有生活气息！菜品新鲜，让人有食欲！老板很热情，贴心、周到。停车方便，下次还会再来！
MWT193033628,5.0,鱼味道不错，我们嘴急了吃的时候鱼还不大入味但是很嫩，开锅时间长一点鱼会比较入味，总的来说很超值！下次还会去
南宫影珣ljy,5.0,鱼的味道特别鲜，菜的分量够足，老板娘非常热情，热心帮我们指路，给我们介绍，最喜欢的就是老板家的菜园，好全的😄😄😄
RaK760151624,5.0,菜很不错，环境很好，老板还让我摘了袋黄瓜，棒棒的
Cdt407788371,4.0,大姐很热情，院子收拾的不错，做的🐟很新鲜！
wRJ620791768,5.0,味道不错，鱼很鲜，下次还会再来
匿名用户,5.0, #炸花椒芽# #炸香椿芽# #烙饼# #凉拌蕨菜#
庐山之东,5.0,味道不错，菜量也可以，老板人热情厚道，装修环境书香气浓厚，值得一去！
jYd649226922,5.0,环境好、服务佳
zzwf万福,5.0,菜品味道不错，服务态度很好，环境不错，下次还会去。
sPv397007419,5.0,很好…老板娘热情…菜品足…味道👌…
dXm948682380,5.0,菜品新鲜囗感出众，还会再来
深蓝色的忠诚,3.0,我们10个人要了一锅鱼一锅鸡一共才花了四百多，商家打75折，吃啥都合适，良心推荐。
允诺￡,5.0,不错的地方，鱼非常好吃，强烈推荐
bimyuanqi,5.0,味道很不错，团购很实惠，好评！！！
CoG620667715,5.0,
SqS495677593,5.0,
IAM294177056,5.0,
nUC764041303,5.0,环境很好 可以摘杏 和蔬菜
敢不敢不这么吊,4.0,
兜兜妙可,5.0,环境特别好，院子的杏挺好吃的，菜还可以免费采摘。老板娘特别热情，服务特别好！以后还会来！
fhl944299301,5.0,
jML334455110,5.0,菜品还可以，价格比较实惠，可以来尝尝
Lvm782731219,5.0,我们常来，不光灶台鱼实惠好吃，炖肉和鱼丸汤都很棒，强烈推荐！
afv679994021,5.0,味道好，环境挺好，还可以免费采摘，老板娘非常热情，服务特别好，棒棒哒！！！
Nereusdong,5.0,环境很棒，分量足，鱼新鲜，服务周到，强烈推荐
MWT193033628,5.0,
fmg540302959,5.0,下午三点多来的，味道不错，量也很足，老板娘态度很好还送了半份贴饼子
woxihuan77,5.0,
A阿杰276,5.0,
郭景强,5.0,
jML102211239,5.0,
nGx953953609,5.0,
Jvx132745390,5.0,
herson,5.0,
mdq941784263,5.0,
哈咯立,5.0,
Xnh202043872,5.0,
匿名用户,5.0,
匿名用户,5.0,
BpH556281277,5.0,
daisy雪1211,5.0,
露华浓lucy,5.0,
匿名用户,4.0,
wqs724698560,5.0,
cruiser_coco,5.0,
匿名用户,5.0,
hiE250290383,4.0,
hFz575714758,5.0,
PMD971086523,5.0,
tonycnbj,4.0,
lixiaofu1,4.0,
dXm948682380,5.0,
cruiser_coco,5.0,
用户,星级,评论
Auj991328979,5.0,"【口味】好想念的味道，面后第一次吃.早就馋福口居羊肉了
【消毒】很正规.如图，测体温登记，出示健康码否则不让进啊
今天是他家20年店庆.我是第六桌送了肉品菜品大礼包，据说开餐前十桌才送的，家门口从小吃到大的火锅店.不多说，开的时间比我年龄还大"
岁月神偷在熙,5.0,这家店前前后后来了快五六年了，总是忘不了这口味道，他家的小火锅也是铜锅，所以吃起来特别有味道，买了他家的两个套餐，量大小合适，两盘肉，一盘羊肉一盘牛肉，你大盘蔬菜拼盘还有菌类拼盘，番茄锅最好吃，酸酸的特别入味，蘸料和饮料还限量，真的不错！
QHR188601449,5.0,口感还不错。
dk3572a,5.0,美团团购的，价廉物美，菜品很足，品种齐全，肉的品质也不错，两个人吃不了，剩下很多，下回还会再来的。
领子665,5.0,菜品不错，味道还是一如既往的好，就是豆浆现在没有了。疫情期间人没有以前那么多了。吃饭体验挺好。
M海马马马马,4.0,实在是好吃。太好了老来吃了，一周一次。点赞👍3号服务员💁
周小蘭蘭蘭蘭,5.0,不错不错 味道好极了
ZZQCY9999,5.0,特别棒 第五次来了 超级超级好
匿名用户,5.0,环境很好，以后有机会还会继续光临
匿名用户,5.0,环境很好，以后有机会还会继续光临
KKK吃吃,5.0,很棒，好吃，很满意~
小马酥酥,2.0,一般般不好吃。就是服务，环境，价格还行，味道很一般。
听雨的拖油瓶,5.0,以前经常来的，尤其适合大家庭聚会，非常满意。
_qq8h61393076937,5.0,挺好的哟，疫情之前去的，羊肉挺好吃的～
屈彦奇008,5.0,"首先这是一条很认真的评价。
先要感谢013号阿姨的热情服务和帮助，每次来都让我有种回家的感觉。特意从大兴区带老同学来吃福口居火锅。初雪和火锅很配哦。
福口居的羊肉新鲜不膻，来自内蒙古锡林郭勒盟西乌珠穆沁旗。作为一个来自内蒙古锡林郭勒的草原汉子，对羊肉的品质要求很高，这里让我很满意。北京离锡林郭勒500多公里，能在这里吃到家乡的味道，款待老友，畅谈许久。
尤其是秘制牛肉丸，绝对是值得推荐的一道，太好吃啦！
送了果盘和糖果，很贴心。
如果你也幸运的在北京，幸运的看到了福口居火锅，不妨进来品尝一下，我保证你还想再来。
再次感谢013号阿姨，爱你哦
附一张和老同学的合影"
匿名用户,5.0,菜品新鲜足量，服务周到热情，味道好极了，蘸酱确实独特。
wang740914,4.0,老友相聚，看着还不错就来了，果然来对了，专门还给宝宝赠送了鸡蛋羹，超赞，下次还会再来，老字号值得相信，最后还打包了，饮料多种选择，适合不同人群，衣服冬季就餐衣物专门有收纳的地方，还不会染上火锅的味道，服务贴心。
goldfine,5.0,味道还是那个味道，感觉还是那个感觉，不错的选择
craceyang,5.0,第一回来福口居吃饭，真心不错。进门后环境就很讲究，肉很嫩，蔬菜拼盘啥的量也足，炸灌肠外焦里嫩，很棒，小铜锅涮肉看着也很讲究，饮料还是随便和且味道很好，还赠送了盘乾隆白菜，很好吃，服务很好，很及时的收空盘和添水，完全不亚于海底捞。我们吃着这顿就开始计划下顿了，饭后还赠送小布丁冰棍。
匿名用户,5.0,口味好，环境不错，服务一流，团的券，量大都没吃完，实惠，还送了一个凉拌菜，不错，推荐大家前来品尝，定会满意。
狂啸的风,1.0,肉时间长，不新鲜，味道差劲，不好吃，服务员告诉我说，套餐就这样，肉品差，要想吃新鲜肉，就得单独再点贵的
MtH579688682,5.0,非常不错，物美价廉，服务到位
豹小会1994,3.0,整体感觉一般般把，但是价格不算贵，口味也还行。
北上JN,5.0,老北京铜火锅，服务周到，菜品较多，菜量充足。
匿名用户,5.0,"【环境】环境很古朴，有老北京风味。同时餐厅里面很干净，地面和桌子都有特色。主要是，离我们挺近的hhh。
【服务】服务非常贴心。给我们头绳，将包包盖起来，手机的塑料袋子也有配备。如果锅底水不够让加，会很快过来。不用提醒也会将我们放在架子上的用过的餐盘主动收走。
【口味】铜锅味道很好，牛羊肉都很好吃。我们几个人甚至都没有吃完，量还ok哒。上菜的时候还会给我们祝福。
小料除了选择可以加一些调料，种类很全。旁边有小零食可供选择。
饮料有多种，我们尝了两种，酸梅汤，赞。
快要吃完的时候，可能因为是夏天，送了西瓜。还给我们一人一个小布丁。呜呜呜谢谢。很好的体验。"
匿名用户,4.0,看到推荐才来的，味道还不错，服务周到，价格实惠，推荐来品尝 #极品羊肉# #精品肥牛# #秘制酸梅汤#
Annie啦,4.0,"这家店真的是无论周内周末都需要排队，所以如果要去还是尽量提前排队，我们大学等位一个小时十分钟，五点四十到福口居的吧。
        之前吃过，味道不错，有免费饮料和小吃，不过这次去免费小吃只有一样，种类变少了。菜量还是很大，我们团了四人餐，三女     一男，还剩了一些菜。
         有一个缺点，桌子太小，菜摆上去很慢，体验稍微差一点。
         不过还是推荐大家去品尝，也希望福口居的服务可以再继续改进，我们也会一如既往地支持~哈哈"
安子丑,5.0,挺好吃的呀 选的麻酱蘸料  还可以 但我又打了辣辣的蘸料 哈哈哈哈 好吃 份量超级无敌巨足 四个女生 把肉吃完了就很饱了 还有蔬菜盘 菌菇盘 好多的菜菜   服务的姐姐人也很好 还给我们送了水果 很热情的 还有几种自助的饮料小吃可以选择 走的时候还给我们送了雪糕 棒👍
tianzhiyuan72,2.0,很一般，没啥特色，蔬菜不是鲜嫩
vOn99027605,3.0,团的券，挺实惠的。环境很好，服务员也比较周到。小锅煮，火大了容易崩到。
HyJ469983507,1.0,点菜服务员态度太差！太差！！服务差服务差
VHb764200437,5.0,用的129那个套餐 说的是两个人实际上两个人完全吃不下 建议三个人吃
匿名用户,4.0,还可以
ElvanHsiao,4.0,服务超级好～吃的人超级多～等位用了一个小时我会乱说…………🤣🤣🤣
十年桃夭,3.0,性价比挺高的，俩人去点个套餐完全吃到撑。环境也ok，下次想试试手切羊肉~
compass066,4.0,服务好，干净卫生，我生日还送了生日礼物和长寿面以及果盘，服务细心
TGj951465821,5.0,"013
【服务】服务热情周到、贴心很满意！
【环境】
【口味】"
xza914528653,4.0,除了菜品份量少以外，其它方面都不错。
xza914528653,4.0,环境优雅，服务热情，份量还行
milede,5.0,013的姐姐服务态度很好 羊肉很好吃😋 超级超级棒
DbA153601213,5.0,服务态度非常好，饮品不限量。
lhl10,5.0,非常周到 非常满意13号服务员服务意识积极主动
匿名用户,1.0,服务超差，碗上面都是污渍不说，还要等位等到了别人还在排队就说打烊了，我都不明白你们服务员怎么培训的
dNB324419205,5.0,"013阿姨的服务特别好，宾至如归，特别贴心，体验特别好。
阿姨服务热情，考虑周到，还很贴心，送上了果盘，冰棍，糖果。
火锅的话点的套餐很实惠，三个老爷们没有吃完，羊肉也不错，没有腥味，"
MvR945947797,4.0,不知为什么这次培根质量不好，基本上就是淀粉做的。
ZGz456383568,4.0,味道不错，还不算贵
ltc640770846,5.0,服务态度特别好，013大姐特别热情，牛羊肉丸子双拼特别好吃，肉也特别好，有特别便宜，
爱生活的侨妹,5.0,太棒了！明天还去
changjiang1002,3.0,整体来说还不错，味道可以，菜品新鲜，希望后期卫生也在提高一下。
mmq695979367,5.0,BT-17服务员服务非常的好！
911YH185,5.0,很满意。服务员服务很到位，态度很好！！！
太阳花邮箱,5.0,北太平庄福口居服务周到，细致体贴，菜品可口，环境优雅舒服，还有免费的停车位，一楼的环境就很好啦，没想到二楼的环境更好，这里特别感谢工号为013的大姐服务特别贴心，还给孩子们拿来孩子们喜欢的贴画和玩具，给个大大的好评！
MYR913171940,5.0,味道很不错，值得推荐，有机会还会再去
KING771231,5.0,肉特别好吃🙈阿姨服务挺好的，蘑菇真的给了好多好多！013阿姨服务特别好
zfI995093389,5.0,美团也是够***的狠的！我原来有摩拜单车会员卡，也有大众点评餐饮点单。愣是被它坑蒙拐骗到美团APP注册会员，注册完了还说我的身份证已经注册过了，还是无法联通大众点评和摩拜单车！在美团点买了团购餐饮使用后仍然无法打通！更奇葩的是找遍整个APP竟然找不到反馈意见交互的入口！只有反馈意见以后才会在我的反馈里面体现！这就像王兴他爸没有生他，却要问王兴的儿子是男是女！！！
二乔哈,5.0,第一次来 服务真的蛮好的 口味也不错推荐
匿名用户,3.0,还可以、环境很好、服务还可以、味道整体只能说中规中矩，人均不高，今天团的2人餐，外点一份手打牛肉丸🍡，没吃完打包回来了
Xsi726683880,5.0,"非常好吃 服务态度也很好 上菜有点慢，人很多
羊肉有腥味，牛肉很好吃"
tyH340582897,5.0,111号服务员服务非常周到！！
捏捏可达鸭,5.0,013号阿姨很热情，服务很好，给我们乘果汁，小吃，还赠了我们一盘果盘，雪糕。环境也很舒适，高端，肉也很好吃，下次还会再来。
立正向前走i,5.0,虽然吃饭过程中出了点小插曲，但是店员处理的很好，店里服务员也很热情，强烈推荐
QUz537556136,5.0,口味好服务周到性价比高，强烈推荐
匿名用户,5.0,太棒啦！
sOj669894713,5.0,店里环境古香古色，013号服务员特别亲切贴心
GRZ144019342,5.0,"013
【服务】很好周到 
【环境】不错"
Kts942685031,4.0,"突然意识到手擀面没上！！！天啊！
服务挺好"
