用户,星级,链接
IPM416264262,50,一如既往的好，吃过以后含嘴里那个又麻又辣的感觉直串舌尖，让你回味无穷。过上几多时间，就会和朋友家人相约再来品尝。
84h6546546546,50,味道不错，服务也很好，推荐。
NKB80272680,50,超级好吃，来了很多次了。服务热情！
wYN315820551,50,服务热情     人很多
aRO560566464,10,服务比较差，坐下来半天没有人来招呼到水，中途叫了好几个服务员没人搭理，都吃完了才倒了两杯水服务真是差。
MIV842905412,50,环境很好，小妹妹服务态度也很好说话很温柔，环境也不错，味道
RME853970839,50,挺好的
刘亮ooo,50,服务很热情，菜品齐全，到位
yFc804617871,10,跟朋友吃完就拉肚子，第二天也不见好，太不干净了！！！
cyF904513638,40,环境好，服务态度好
人来狗往1,50,味道非常好
CocaCola437,20,环境有点不行，味道太一般，总体感觉一般
hyU776131351,50,好吃
twA133008914,50,还可以，味道是我喜欢的，
yjC673927238,50,还不错，去了很多次了味道可以，希望分量在多点就更好了
iXK835183318,50,很好，菜品丰富，味道不错
juzi85521,50,味道不错！
yjC673927238,50,吃了好多次了，还可以的
与你常伴,50,味道很好  值得回头
匿名用户,10,菜品太少了，不划算，真的太不划算了，↘️。。。。
VJq370044068,50,好得很
蓝色心情君,20,来吃过很多次了，还是很不错的，但是现在味道没有以前好了，让好评送盒纸，我没同意，不差那两块钱，好就是好，不好就不好，不喜欢昧着良心说话
Jki747580103,50,服务不错，很耐心，菜品比之前还好了！
安之若素app,10,菜品，口感，环境其实都还过得去。但是服务质量我是着实不敢恭维，我们在吃饭途中有一个小哥服务员时不时的来搅动我们的锅底。（如果整个店的文化都是这样我或许还能理解这是他的工作需要。但是只是在针对我们一桌在我看来非常没有礼貌且缺乏教养）
dxE852620000,50,还不错
mOg486542546,50,服务好，味道不错
rng475806150,50,来过好多次了，推荐朋友可以来品尝
Cbu679444512,50,好吃，带了五六个人吃的四人套餐再加点菜刚好
bbbb仔啊,50,味道好
mub642100066,50,经常来吃 总体感觉还可以
LLF584630206,50,口味很好
biF510281655,50,第三次吃，味道不错。
ijK356547011,50,环境干净整洁，味道很好
逛吃逛吃的甜蜜蜜,50,队友一起嗨
XHq515198897,50,环境很好，味道也不错，必须给五星好评。
utN339270922,50,物美价廉，好吃还不贵
飞鸟子丶,50,nice
aAD910915683,50,虽然我现在人在上海 可是好想念家乡的火锅 不知道下次回去还能不能吃到 川西坝子！你给我挺住了！
SMQ346333932,50,牛逼好吃
hKR441254682,50,好吃
Bux916483791,50,服务非常好，环境不错
OXK683352162,50,味道不错，菜品干净，服务态度好，十分满意，店里面环境也好
董晓草869,50,服务态度非常好，味道也好
周小鸭与马宇,50,味道还行
eoR779957799,50,味道不错，服务也很好
dYe657228774,50,环境很好哦，味道也好
明likeyou,50,很不错
nVN848310033,50,前台小姐姐和小哥哥都很热情！很满意！
Fmq127326286,50,超级赞的哦～嘻嘻嘻(♡˙︶˙♡)
vyL443479037,50,好
匿名用户,50,好吃
nZG216711873,50,非常满意
nvr387268540,10,没有想象中的好吃，服务员也不热情
tFw896320113,50,「#套餐：3-4 人套餐」味道棒极了
LH3759,50,美，非常美，相当可以
ZiT409027238,50,服务态度不错，我们经常在这里吃，味道可佳。
Uhj676042579,50,非常棒
szq415907833,50,服务周到，贴心
xyC117194498,50,味道，可以朋友推荐过来的
beR430287493,50,菜品不错
NSu629588954,10,自己拿着我手机扫码趁机点好评 被我发现退出来了 服务态度恶劣 全程坐那儿玩手机 味道极差 ！太垃圾了！不小心多点一个面没动还不给退气！再也不会来了！
匿名用户,10,服务员真的差劲，实在实在差劲，团了八人餐，总共16个菜，刚开始14个菜，给服务员说菜没上够，结果服务员过来摆着脸子说等会给你看一下；过一会过来数，数了半天，说上了14个，又查对了半天，期间各种不耐烦，我欠你的？？？然后呢，又过来一个服务员，数了半天，说是15个啊，一脸不悦，好，就算我刚开始数错了，但第一个服务员过来自己也数了，也数了14个，你现在数了15个就把责任都推给我？也不是在乎到底多少个，起码把你的脸色收起来谢谢，我们是来吃饭不是来看你脸子的。
猫宜,50,东西很好吃，朋友蛮喜欢的，下次还会来的
PQu417145411,40,菜比较新鲜，味道不错
Jpw584227950,50,环境好，服务好，下次再来。
匿名用户,50,满意
Vyi807639060,50,环境好 味道正宗
szq415907833,50,服务周到，人气很旺
PvC899783560,50,味道非常好
otK895787692,50,非常好
DFG483810358,50,【环境】
trl493674354,50,挺好的，
goT118913717,50,很好
zhouyongguang123,40,感觉不错！
匿名用户,50,还挺好吃的
匿名用户,10,服务太差了，再也不想来了，太差了，服务
sHP552781906,40,味道很不错
anglehx,40,环境也挺好的，上菜也挺快的，服务业很好，吃完之后身上的火锅味也不是很重，这是我最喜欢的
cAR901948500,50,菜品新鲜，味道也非常好
Sui395216153,50,味道不错
人如其人贺贺,50,服务好，口味也不错，值得一去。
南音的吧啦,50,蔬菜很新鲜，鹌鹑蛋很好吃，小姐姐很漂亮，小哥哥很热情。可能是吃的太久了，锅底都让我们吃苦了  心痛╯﹏╰还好小哥哥给换了一半 加了清水。
匿名用户,30,服务热情！就是地方太小，东西都没有地方放。
绝版男人ll,10,非常非常差的一次吃饭 很失望 永远不会来吃
eLW68246399,50,味道不错👍，很美味，
xor146772614,50,还不错
wmjwn,50,非常好
匿名用户,40,每周来吃，一如既往的好吃
Snf834346334,50,服务态度好，菜品新鲜值得推荐
ZPj238304468,50,菜品不错老板人也很热情，推荐大家去。店里人很多，
ws铁蛋宝宝,50,里面有一个小哥哥服务特别好 老板要好好表扬一下😊
SjR905418139,50,菜品很好推荐，值得回购，下次还来。
aQB241052608,50,经常来吃，服务周到，菜品口感特别好
QJN639882835,40,环境很好，人很多，菜很新鲜。
YNJ255206655,50,挺不错，特好
xHX282659063,50,服务不错   菜品好吃   很辣很好吃  推荐来呦
EGv320008785,30,团餐还可以，缺点是菜量太小，点的是四人餐，可是我们两个大人一个小孩还要加餐
gOJ14687194,50,环境超赞
helloKT妹妹,50,味道杠杠的，尤其是番茄锅，超级喜欢，菜品也是自选，还可以双拼。
NsS307408851,50,强烈推荐，服务态度非常好，菜品新鲜
匿名用户,30,还挺好，味道不错，就是地方有点小，鸡蛋炒米饭太硬。
NvR611034916,50,口味可以   味道很不错   值得推荐  ！！！
MhC162512597,50,"【口味】
【环境】
【服务】
【等位】服务小火不错"
PYr599160599,30,中午来真的上菜有点慢，没有小吃
jPM936814907,50,赞赞赞
Jmb176551748,50,服务不错，挺赞的，态度很好。味道不错
TJR713581890,50,菜品味道好，种类多，强烈推荐
火凤凰9488,50,"【口味】
【环境】
【等位】
【服务】很好吃不错"
bUu713415474,40,味道很好，经常去吃～～！
Dhg857503772,40,服务态度好，，
jjP455515453,50,好吃 味道美
培培希,30,味道可以的，服务也还好，菜不是很贵
eMK291160960,50,【环境】优美，服务也很不错，味道也不错，下次考虑还会再来
MkD423701932,40,味道正宗，有些辣
ITZ716997249,50,"【口味】
【环境】
【服务】
【等位】

非常好

感觉好吃"
啊秋1523,50,"【口味】
【环境】
【服务】
【等位】非常好
服务态度很好
经济实惠"
匿名用户,50,环境优美，服务挺好，下次应该还会再来
SjR905418139,50,菜品齐全味道辣度清淡适宜，而且地方很好找，价钱适合，服务态度非常好，很赞推荐
PfS449999656,50,"【服务】
【等位】
【环境】
【口味】"
CBv959629616,50,菜品新鲜，味道非常赞👍
匿名用户,50,"【口味】
【环境】
【服务】
【等位】非常好"
WTM122903893,40,里面一个小哥哥服务超级好，中午去吃的，人不多很凉快，菜份量也还可以
仇文华1,50,味道非常正宗，经常来吃，朋友聚会，亲戚都可以！环境优雅，整洁！
珍珍4413,50,"【口味】
【环境】
【服务】

非常好"
SjR905418139,50,环境优雅，菜品健康，上菜快。。。
AK10806,50,本店的回头客了，之前都是和同学来，这次带了父母，父母也说味道好，以后还会再来的，服务态度炒鸡好，100分。我吹爆川西坝子
jrV40156021,50,有点贵
pNE755548869,40,好评，
TMr458678247,50,味道超级棒哦！强烈推荐！服务好，味道好，环境好，空调炒鸡凉快😎
xMu565926442,50,菜品非常新鲜，口感好
雪941027,50,味道很好，经常来吃
匿名用户,50,味道超级棒！
我是华年,50,"【口味】
【环境】
【服务】
【等位】推荐推荐"
NJe307040302,40,环境不错，这火锅是真的好吃，可以来尝试一下。
nPm354249232,50,服务态度特别好 味道特别适合我们口味 菜品也都很不错
RKi499971392,50,环境很好，菜品也新鲜，味道也不错
匿名用户,50,物美价廉 #精品肥羊卷# #麻花#
匿名用户,40,很不错的一个地方，大家来吃吃看，味道很赞哟
梦希晨,50,"【环境】
【服务】
【口味】"
RiD22589238,30,菜品很新鲜，服务很好！有机会再来！
eMK291160960,40,菜品丰富，环境也不错，服务还比较热情。
viT333821148,50,强力推荐
李小cee,30,还好吧，去了很久了，味道赞赞的
匿名用户,50,服务热情，菜品新鲜，分量可以，适合聚会
iOO531707298,50,服务好，空调凉快，强烈推荐，
JJb205409708,50,来过几次了   店里环境很不错   味道也很好！！！值得推荐！
A风云天,50,菜品新鲜，味道正宗，空调了解，新装修
SeP6624050,50,菜品新鲜，味道好
amh673809060,50,棒
匿名用户,50,味道不错，菜品新鲜，服务堪比海底捞
VZT837583860,50,很棒的一次用餐，环境特别好
iNt457577575,50,来过很多次了   闻到很不错   店里空调超级凉快
跳舞的蛤蟆,50,超好吃(｢･ω･)｢嘿
MoP352910298,50,昨天来过真心值得推荐，我今天又来打卡了
Nwl334310322,50,经常来这家吃，味道非常好，团购也非常实惠 #秘制麻辣牛肉# #海草# #精品鲜毛肚#
csd557166625,50,菜品新鲜1，服务不错
匿名用户,20,菜品还可以   就是服务方面不太好    人太多
匿名用户,30,希望继续改善，安康的火锅确实好的少
匿名用户,30,还行吧，其实小料希望在增加几种……
kfV373699435,40,味美价廉，环境也好，上菜快，不等位，
匿名用户,40,继续努力，继续保持……
焦花花,50,还没开吃 应该还可以
HTL27713031,50,挺不错的，人超级多，第一次来，服务很赞，小哥哥很热情
尼伦之裔,50, #毛肚双拼# #秘制麻辣牛肉# #精品鸭肠# #牛油鸳鸯菌汤#
我的薰衣草_2008,50,挺不错的，老顾客了
hfy986971876,50,味道还不错，可以推荐。环境挺好，
GIv578721027,50,非常好   味道很好
WTh295247424,50,特别好，每次吃都会来
Jta496913545,30,味道很好，菜品多，不错哦，本仙女推荐宝宝们来哦
AiY889816270,50,味道非常好 会经常来的
匿名用户,50,味道很好
WAT138328695,50,服务好 #海带苗# #秘制麻辣牛肉# #精品鸭肠# #千层肚# #精品五花肉# #鸳鸯清汤锅底#
山楂最爱吃！,40,带了5个小朋友来吃。点6-8人餐刚好好。服务很到位。 #精品鲜毛肚# #秘制麻辣牛肉# #手工牛肉丸# #千层肚# #精品五花肉#
匿名用户,10,真的无力吐槽这的前台，还有服务员与前台服务业务根本不同步，服务员让我免费办张卡还打折我办了，结账时前台根本不问我是否会员，直接打单让我结账 问有优惠没 她说没有，让我去美团团张代金劵，结果我发现就没给我按会员打折，我就纳闷了既然跟我推了卡问什么前台不知道也没有服务员出来说打折的事，这样以次充好的服务真的恶心！
灬职业丨奶爸灬,30,县城人扎柿子的最爱，口味还可，价位稍高。
o.o976,40,空调凉快
Npy886586397,50,菜味可以，环境干净整洁，室内空调温度凉快。
hQt311793561,50,店内空调很凉快
TsB695267177,40,好评
冰清玉洁305,50,菜品多，服务好，味道棒，环境也不错！还会再来的！吃得太爽，吃货照就顾不上拍了！😜
小白554,30,味道不错，就是太贵啦啦啦啦！服务还可以
Apj386941970,50,菜量不错，环境很不错，服务热情
nmW357303841,50, #精品鸭肠# #绿色盒正方形# #咖啡色盒子正方形#
Nkk722076368,50,挺好的
Steven070304,40,味道不错，清明假期去旅游的时候去吃的，菜量还行，就是室内太热，没有空调，服务员态度很好
YOV250416913,50,每次和朋友以及家人吃饭都喜欢订在这里，服务特别好，比别的川西坝子好吃
匿名用户,50,服务好，菜品好，环境好，味道好，
CzC792107550,30,安康人来说还可以，比在外地好吃点
孤独蜕变,50,菜品新鲜，味道不错
NIL630884327,50,价格实惠，味道正宗，强烈推荐！！
p,o,i,_,i,d
用户,星级,链接
Monster.53446,5.0,蛋糕🍰很好吃呀，很实惠。店家人很好，赞赞赞
nXN139347379,5.0,非常好
沐音的曙光,5.0,挺好吃的哇，价格还实惠，老板人很好，满意！
QAr135044284,3.0,还行吧，奶油质量还不错，就是太小，糊弄
吴小哼,3.0,很好(✪▽✪)「#套餐：巧克力水果蛋糕8英寸 1 个」
lfM951054939,5.0,「#套餐：巧克力水果蛋糕12英寸 1 个」味道美味，商品实惠分量足，漂亮从整体来看，各个地方都很精美，并且味道那个面包很很好吃
vNV295601700,5.0,非常好的卖家，蛋糕也好吃，又不贵，买很多次了
oWf466169557,4.0,朋友生日，实在不知道买什么就买了一个蛋糕，味道不错，
zzl11027,5.0,蛋糕口味很好，值得推荐，老板人也非常好，我是妈妈生日，但我在外地，订蛋糕的时候就问老板能不能送过去，老板亲自送的，还给我拍照了，人特别负责，下次还定这家的
knJ574965336,5.0,家人很满意，老板人很好
九八kol,5.0,非常不错
RlH285976214,5.0,不错！蛋糕很新鲜，服务也很赞！已是第二以购买了！
saB236523264,4.0,便宜实惠老板娘人好
匿名用户,5.0,我在外地给家人订的蛋糕，本以为不方便！结果老板人很好，态度热情！还亲自送到手！蛋糕也很新鲜，听家人说味道不错，以后还会回购！
匿名用户,5.0,超级棒！在网上找的图片，结果做的比图片还要好看，一点不输沙利文，而且实惠又好吃，十寸的只花了100块钱，好多水果和巧克力片，蛋糕中间还有椰果，很好吃！
多多益善li,4.0,味道挺好，口感不错，老板态度也很好。很满意
Sweety萌小萌,5.0,好评 挺好吃的
dXn392643702,4.0,很好，不错，便宜实惠
嗯！就这样。。,5.0,好，味道可以，服务态度很好，而且不是很贵
朱_二爷,4.0,订过几次了。老板人很好。蛋糕也不错
今天也很想喝奶茶,5.0,到店自取的，店家的服务态度超级赞，蛋糕的味道也很棒，水果种类很多而且新鲜，麻麻说以后蛋糕都在这买了
唐丹丹520,4.0,还可以吧 没图片上好看 不过速度很快 态度也不错 还帮我送到门口 谢谢🙏
七月二十4,3.0,还不错，很喜欢，以后会经常来的。。。
鹿哥sys,4.0,挺好的 经济实惠 味道不错 值得购买
团团花钱小丸子,5.0,老板态度很好，很有耐心，蛋糕味道也不错。好评！
朱_二爷,5.0,在这家一共买过三个蛋糕，老板人挺热情的，蛋糕也还挺好的！
RmF518078468,5.0,味道很好，很大一个
匿名用户,5.0,服务态度很棒，下次会再来，力荐
UMU214090509,5.0,老板态度很好 都是新鲜水果 味道真的很不错 超级赞
浮华半生倾城一世,5.0,味道还不错，经济实惠。下次再来
PJo694680791,5.0,非常棒的服务，蛋糕也好吃，给老板十二个赞！
人暖性子野,5.0,
shilr_100,5.0,
tnH884906099,5.0,
思念哥哥爱婵妹,5.0,
uom380842699,5.0,
轩哥超鬼了,5.0,
轩哥超鬼了,5.0,
lrT268864059,4.0,
匿名用户,5.0,
徽商金融,4.0,
WeA481919503,5.0,
Zfh750274349,5.0,
Fmj221725851,5.0,
轩哥超鬼了,5.0,
EjE484172313,4.0,
Mer_W,5.0,
Zfa643394890,5.0,
kYo682421096,5.0,
Fbi557462104,5.0,
tm0556,5.0,
匿名用户,5.0,
玉子卿,5.0,
